,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category,AOU
110,Plain Chachalaca,Ortalis vetula,LC,LC,3110
152,Mountain Quail,Oreortyx pictus,LC,LC,2920
153,Northern Bobwhite,Colinus virginianus,NT,NT,2890
157,Scaled Quail,Callipepla squamata,LC,LC,2930
159,Gambel's Quail,Callipepla gambelii,LC,LC,2950
160,California Quail,Callipepla californica,LC,LC,2940
181,Montezuma Quail,Cyrtonyx montezumae,LC,LC,2960
217,Indian Peafowl,Pavo cristatus,LC,LC,3095
350,Wild Turkey,Meleagris gallopavo,LC,LC,3100
352,Ruffed Grouse,Bonasa umbellus,LC,LC,3000
356,Rock Ptarmigan,Lagopus muta,LC,LC,3020
357,White-tailed Ptarmigan,Lagopus leucura,LC,LC,3040
358,Dusky Grouse,Dendragapus obscurus,LC,LC,2970
359,Sooty Grouse,Dendragapus fuliginosus,LC,LC,2971
361,Spruce Grouse,Falcipennis canadensis,LC,LC,2980
369,Sharp-tailed Grouse,Tympanuchus phasianellus,LC,LC,3080
387,Ruddy Duck,Oxyura jamaicensis,LC,LC,1670
400,Mute Swan,Cygnus olor,LC,LC,1782
401,Trumpeter Swan,Cygnus buccinator,LC,LC,1810
403,Tundra Swan,Cygnus columbianus,LC,LC,1800
407,Cackling Goose,Branta hutchinsii,LC,LC,1725
408,Canada Goose,Branta canadensis,LC,LC,1720
410,Emperor Goose,Anser canagicus,NT,NT,1760
411,Snow Goose,Anser caerulescens,LC,LC,1690
412,Ross's Goose,Anser rossii,LC,LC,1700
420,Long-tailed Duck,Clangula hyemalis,VU,VU,1540
421,Spectacled Eider,Somateria fischeri,NT,NT,1580
422,King Eider,Somateria spectabilis,LC,LC,1620
423,Common Eider,Somateria mollissima,NT,NT,1590
424,Steller's Eider,Polysticta stelleri,VU,VU,1570
425,Surf Scoter,Melanitta perspicillata,LC,LC,1660
428,White-winged Scoter,Melanitta deglandi,LC,LC,1650
430,Black Scoter,Melanitta americana,NT,NT,1630
432,Common Goldeneye,Bucephala clangula,LC,LC,1510
433,Barrow's Goldeneye,Bucephala islandica,LC,LC,1520
435,Hooded Merganser,Lophodytes cucullatus,LC,LC,1310
438,Red-breasted Merganser,Mergus serrator,LC,LC,1300
441,Harlequin Duck,Histrionicus histrionicus,LC,LC,1550
450,Egyptian Goose,Alopochen aegyptiaca,LC,LC,20630
460,Muscovy Duck,Cairina moschata,LC,LC,10210
467,Wood Duck,Aix sponsa,LC,LC,1440
488,Ring-necked Duck,Aythya collaris,LC,LC,1500
489,Tufted Duck,Aythya fuligula,LC,LC,1491
490,Greater Scaup,Aythya marila,LC,LC,1480
491,Lesser Scaup,Aythya affinis,LC,LC,1490
508,Northern Shoveler,Spatula clypeata,LC,LC,1420
509,Cinnamon Teal,Spatula cyanoptera,LC,LC,1410
510,Blue-winged Teal,Spatula discors,LC,LC,1400
514,Eurasian Wigeon,Mareca penelope,LC,LC,1360
515,American Wigeon,Mareca americana,LC,LC,1370
527,Mottled Duck,Anas fulvigula,LC,LC,1340
541,Northern Pintail,Anas acuta,LC,LC,1430
552,Least Grebe,Tachybaptus dominicus,LC,LC,50
553,Pied-billed Grebe,Podilymbus podiceps,LC,LC,60
560,Red-necked Grebe,Podiceps grisegena,LC,LC,20
562,Horned Grebe,Podiceps auritus,VU,VU,30
569,Western Grebe,Aechmophorus occidentalis,LC,LC,10
570,Clark's Grebe,Aechmophorus clarkii,LC,LC,11
577,Red-billed Tropicbird,Phaethon aethereus,LC,LC,1130
660,White-crowned Pigeon,Patagioenas leucocephala,NT,NT,3140
672,Red-billed Pigeon,Patagioenas flavirostris,LC,LC,3130
690,White-tipped Dove,Leptotila verreauxi,LC,LC,3180
709,White-winged Dove,Zenaida asiatica,LC,LC,3190
714,Mourning Dove,Zenaida macroura,LC,LC,3160
716,Inca Dove,Columbina inca,LC,LC,3210
1002,Common Nighthawk,Chordeiles minor,LC,LC,4200
1003,Antillean Nighthawk,Chordeiles gundlachii,LC,LC,4201
1004,Lesser Nighthawk,Chordeiles acutipennis,LC,LC,4210
1036,Common Poorwill,Phalaenoptilus nuttallii,LC,LC,4180
1037,Eastern Whip-poor-will,Antrostomus vociferus,NT,NT,4171
1038,Mexican Whip-poor-will,Antrostomus arizonae,LC,LC,4172
1105,Black Swift,Cypseloides niger,VU,VU,4220
1131,Vaux's Swift,Chaetura vauxi,LC,LC,4240
1132,Chimney Swift,Chaetura pelagica,VU,VU,4230
1169,White-throated Swift,Aeronautes saxatalis,LC,LC,4250
1418,Broad-billed Hummingbird,Cynanthus latirostris,LC,LC,4410
1465,Buff-bellied Hummingbird,Amazilia yucatanensis,LC,LC,4390
1483,Violet-crowned Hummingbird,Amazilia violiceps,LC,LC,4391
1546,Lucifer Hummingbird,Calothorax lucifer,LC,LC,4370
1552,Anna's Hummingbird,Calypte anna,LC,LC,4310
1553,Costa's Hummingbird,Calypte costae,LC,LC,4300
1554,Black-chinned Hummingbird,Archilochus alexandri,LC,LC,4290
1555,Ruby-throated Hummingbird,Archilochus colubris,LC,LC,4280
1556,Broad-tailed Hummingbird,Selasphorus platycercus,LC,LC,4320
1557,Calliope Hummingbird,Selasphorus calliope,LC,LC,4360
1558,Rufous Hummingbird,Selasphorus rufus,NT,NT,4330
1559,Allen's Hummingbird,Selasphorus sasin,LC,LC,4340
1567,Smooth-billed Ani,Crotophaga ani,LC,LC,3830
1568,Groove-billed Ani,Crotophaga sulcirostris,LC,LC,3840
1575,Greater Roadrunner,Geococcyx californianus,LC,LC,3850
1648,Yellow-billed Cuckoo,Coccyzus americanus,LC,LC,3870
1650,Mangrove Cuckoo,Coccyzus minor,LC,LC,3860
1653,Black-billed Cuckoo,Coccyzus erythropthalmus,LC,LC,3880
1742,Yellow Rail,Coturnicops noveboracensis,LC,LC,2150
1752,Black Rail,Laterallus jamaicensis,NT,EN,2160
1759,Ridgway's Rail,Rallus obsoletus,NT,NT,2111
1760,King Rail,Rallus elegans,NT,NT,2080
1761,Clapper Rail,Rallus crepitans,LC,LC,2110
1763,Virginia Rail,Rallus limicola,LC,LC,2120
1854,Purple Swamphen,Porphyrio porphyrio,LC,LC,21930
1862,Purple Gallinule,Porphyrio martinicus,LC,LC,2180
1869,Common Gallinule,Gallinula galeata,LC,LC,2190
1880,American Coot,Fulica americana,LC,LC,2210
1905,Whooping Crane,Grus americana,EN,EN,2040
1959,Red-throated Loon,Gavia stellata,LC,LC,110
1960,Arctic Loon,Gavia arctica,LC,LC,90
1961,Pacific Loon,Gavia pacifica,LC,LC,100
1962,Common Loon,Gavia immer,LC,LC,70
1963,Yellow-billed Loon,Gavia adamsii,NT,NT,80
2033,Northern Fulmar,Fulmarus glacialis,LC,LC,860
2096,Cory's Shearwater,Calonectris borealis,LC,LC,880
2110,Manx Shearwater,Puffinus puffinus,LC,LC,900
2131,Wood Stork,Mycteria americana,LC,LC,1880
2149,Roseate Spoonbill,Platalea ajaja,LC,LC,1830
2178,White Ibis,Eudocimus albus,LC,LC,1840
2180,Glossy Ibis,Plegadis falcinellus,LC,LC,1860
2181,White-faced Ibis,Plegadis chihi,LC,LC,1870
2194,American Bittern,Botaurus lentiginosus,LC,LC,1900
2197,Least Bittern,Ixobrychus exilis,LC,LC,1910
2224,Cattle Egret,Bubulcus ibis,LC,LC,2001
2243,Reddish Egret,Egretta rufescens,NT,NT,1980
2246,Tricolored Heron,Egretta tricolor,LC,LC,1990
2248,Snowy Egret,Egretta thula,LC,LC,1970
2249,Little Egret,Egretta garzetta,LC,LC,1961
2260,Brown Pelican,Pelecanus occidentalis,LC,LC,1260
2266,Magnificent Frigatebird,Fregata magnificens,LC,LC,1280
2269,Northern Gannet,Morus bassanus,LC,LC,1170
2273,Brown Booby,Sula leucogaster,LC,LC,1150
2274,Blue-footed Booby,Sula nebouxii,LC,LC,1141
2276,Masked Booby,Sula dactylatra,LC,LC,1140
2294,Double-crested Cormorant,Nannopterum auritus,LC,LC,1200
2297,Brandt's Cormorant,Urile penicillatus,LC,LC,1220
2298,Pelagic Cormorant,Urile pelagicus,LC,LC,1230
2302,Great Cormorant,Phalacrocorax carbo,LC,LC,1190
2333,American Oystercatcher,Haematopus palliatus,LC,LC,2860
2344,American Avocet,Recurvirostra americana,LC,LC,2250
2359,Semipalmated Plover,Charadrius semipalmatus,LC,LC,2740
2362,Wilson's Plover,Charadrius wilsonia,LC,LC,2800
2364,Piping Plover,Charadrius melodus,NT,NT,2770
2374,Snowy Plover,Charadrius nivosus,NT,NT,2780
2387,Mountain Plover,Charadrius montanus,NT,NT,2810
2436,Upland Sandpiper,Bartramia longicauda,LC,LC,2610
2437,Bristle-thighed Curlew,Numenius tahitiensis,VU,NT,2680
2442,Long-billed Curlew,Numenius americanus,LC,LC,2640
2445,Bar-tailed Godwit,Limosa lapponica,NT,NT,2500
2446,Marbled Godwit,Limosa fedoa,LC,LC,2490
2447,Hudsonian Godwit,Limosa haemastica,LC,LC,2510
2449,Ruddy Turnstone,Arenaria interpres,LC,LC,2830
2450,Black Turnstone,Arenaria melanocephala,LC,LC,2840
2452,Red Knot,Calidris canutus,NT,NT,2340
2456,Sharp-tailed Sandpiper,Calidris acuminata,LC,VU,2380
2457,Stilt Sandpiper,Calidris himantopus,LC,LC,2330
2462,Red-necked Stint,Calidris ruficollis,NT,NT,2422
2465,Rock Sandpiper,Calidris ptilocnemis,LC,LC,2356
2466,Purple Sandpiper,Calidris maritima,LC,LC,2350
2467,Baird's Sandpiper,Calidris bairdii,LC,LC,2410
2469,Least Sandpiper,Calidris minutilla,LC,LC,2420
2470,White-rumped Sandpiper,Calidris fuscicollis,LC,LC,2400
2471,Buff-breasted Sandpiper,Calidris subruficollis,NT,NT,2620
2472,Pectoral Sandpiper,Calidris melanotos,LC,LC,2390
2473,Semipalmated Sandpiper,Calidris pusilla,NT,NT,2460
2474,Western Sandpiper,Calidris mauri,LC,LC,2470
2480,Short-billed Dowitcher,Limnodromus griseus,LC,LC,2310
2481,Long-billed Dowitcher,Limnodromus scolopaceus,LC,LC,2320
2489,American Woodcock,Scolopax minor,LC,LC,2280
2507,Wilson's Snipe,Gallinago delicata,LC,LC,2300
2513,Wilson's Phalarope,Steganopus tricolor,LC,LC,2240
2514,Red-necked Phalarope,Phalaropus lobatus,LC,LC,2230
2515,Red Phalarope,Phalaropus fulicarius,LC,LC,2220
2517,Common Sandpiper,Actitis hypoleucos,LC,LC,2631
2518,Spotted Sandpiper,Actitis macularius,LC,LC,2630
2520,Solitary Sandpiper,Tringa solitaria,LC,LC,2560
2522,Wandering Tattler,Tringa incana,LC,LC,2590
2524,Lesser Yellowlegs,Tringa flavipes,LC,LC,2550
2526,Common Greenshank,Tringa nebularia,LC,LC,2530
2527,Greater Yellowlegs,Tringa melanoleuca,LC,LC,2540
2575,Black Skimmer,Rynchops niger,LC,LC,800
2579,Little Gull,Hydrocoloeus minutus,LC,LC,601
2580,Ross's Gull,Rhodostethia rosea,LC,LC,610
2582,Sabine's Gull,Xema sabini,LC,LC,620
2585,Black-legged Kittiwake,Rissa tridactyla,VU,VU,400
2586,Bonaparte's Gull,Larus philadelphia,LC,LC,600
2589,Black-headed Gull,Larus ridibundus,LC,LC,551
2598,Franklin's Gull,Larus pipixcan,LC,LC,590
2599,Laughing Gull,Larus atricilla,LC,LC,580
2607,Heermann's Gull,Larus heermanni,NT,NT,570
2612,Ring-billed Gull,Larus delawarensis,LC,LC,540
2613,Mew Gull,Larus canus,LC,LC,550
2615,Western Gull,Larus occidentalis,LC,LC,490
2616,California Gull,Larus californicus,LC,LC,530
2624,Iceland Gull,Larus glaucoides,LC,LC,430
2625,Slaty-backed Gull,Larus schistisagus,LC,LC,480
2626,Glaucous-winged Gull,Larus glaucescens,LC,LC,440
2627,Glaucous Gull,Larus hyperboreus,LC,LC,420
2629,Aleutian Tern,Onychoprion aleuticus,VU,VU,730
2635,Least Tern,Sternula antillarum,LC,LC,740
2643,Caspian Tern,Hydroprogne caspia,LC,LC,640
2648,Black Tern,Chlidonias niger,LC,LC,770
2650,Roseate Tern,Sterna dougallii,LC,LC,720
2654,Common Tern,Sterna hirundo,LC,LC,700
2656,Arctic Tern,Sterna paradisaea,LC,LC,710
2659,Forster's Tern,Sterna forsteri,LC,LC,690
2664,Elegant Tern,Thalasseus elegans,NT,NT,660
2665,Sandwich Tern,Thalasseus sandvicensis,LC,LC,670
2666,Royal Tern,Thalasseus maximus,LC,LC,650
2668,Long-tailed Jaeger,Stercorarius longicaudus,LC,LC,380
2670,Pomarine Jaeger,Stercorarius pomarinus,LC,LC,360
2675,Rhinoceros Auklet,Cerorhinca monocerata,LC,LC,150
2676,Tufted Puffin,Fratercula cirrhata,LC,LC,120
2678,Horned Puffin,Fratercula corniculata,LC,LC,140
2679,Cassin's Auklet,Ptychoramphus aleuticus,NT,NT,160
2685,Marbled Murrelet,Brachyramphus marmoratus,EN,EN,230
2686,Kittlitz's Murrelet,Brachyramphus brevirostris,NT,NT,240
2687,Black Guillemot,Cepphus grylle,LC,LC,270
2688,Pigeon Guillemot,Cepphus columba,LC,LC,290
2690,Ancient Murrelet,Synthliboramphus antiquus,LC,LC,210
2698,Thick-billed Murre,Uria lomvia,LC,LC,310
2699,Common Murre,Uria aalge,LC,LC,300
2792,Elf Owl,Micrathene whitneyi,LC,LC,3810
2793,Burrowing Owl,Athene cunicularia,LC,LC,3780
2798,Boreal Owl,Aegolius funereus,LC,LC,3710
2864,Short-eared Owl,Asio flammeus,LC,LC,3670
2868,Flammulated Owl,Psiloscops flammeolus,LC,LC,3740
2902,Spotted Owl,Strix occidentalis,NT,NT,3690
2903,Barred Owl,Strix varia,LC,LC,3680
2913,Snowy Owl,Bubo scandiacus,VU,VU,3760
2941,Turkey Vulture,Cathartes aura,LC,LC,3250
2946,California Condor,Gymnogyps californianus,CR,CR,3240
2952,White-tailed Kite,Elanus leucurus,LC,LC,3280
2958,Hook-billed Kite,Chondrohierax uncinatus,LC,LC,3271
2960,Swallow-tailed Kite,Elanoides forficatus,LC,LC,3270
3038,Golden Eagle,Aquila chrysaetos,LC,LC,3490
3067,Northern Harrier,Circus hudsonius,LC,LC,3310
3110,Sharp-shinned Hawk,Accipiter striatus,LC,LC,3320
3111,Cooper's Hawk,Accipiter cooperii,LC,LC,3330
3116,Northern Goshawk,Accipiter gentilis,LC,LC,3340
3130,Bald Eagle,Haliaeetus leucocephalus,LC,LC,3520
3144,Mississippi Kite,Ictinia mississippiensis,LC,LC,3290
3146,Snail Kite,Rostrhamus sociabilis,LC,LC,3300
3149,Harris's Hawk,Parabuteo unicinctus,LC,LC,3350
3162,White-tailed Hawk,Geranoaetus albicaudatus,LC,LC,3410
3175,Red-shouldered Hawk,Buteo lineatus,LC,LC,3390
3176,Broad-winged Hawk,Buteo platypterus,LC,LC,3430
3179,Short-tailed Hawk,Buteo brachyurus,LC,LC,3440
3180,Swainson's Hawk,Buteo swainsoni,LC,LC,3420
3182,Zone-tailed Hawk,Buteo albonotatus,LC,LC,3400
3183,Red-tailed Hawk,Buteo jamaicensis,LC,LC,3370
3186,Ferruginous Hawk,Buteo regalis,LC,LC,3480
3244,Elegant Trogon,Trogon elegans,LC,LC,3890
3432,Ringed Kingfisher,Megaceryle torquata,LC,LC,3901
3433,Belted Kingfisher,Megaceryle alcyon,LC,LC,3900
3437,Green Kingfisher,Chloroceryle americana,LC,LC,3910
3857,Gilded Flicker,Colaptes chrysoides,LC,LC,4140
3887,Pileated Woodpecker,Hylatomus pileatus,LC,LC,4050
3898,Williamson's Sapsucker,Sphyrapicus thyroideus,LC,LC,4040
3899,Yellow-bellied Sapsucker,Sphyrapicus varius,LC,LC,4020
3900,Red-naped Sapsucker,Sphyrapicus nuchalis,LC,LC,4021
3901,Red-breasted Sapsucker,Sphyrapicus ruber,LC,LC,4030
3904,Lewis's Woodpecker,Melanerpes lewis,LC,LC,4080
3907,Red-headed Woodpecker,Melanerpes erythrocephalus,LC,LC,4060
3908,Acorn Woodpecker,Melanerpes formicivorus,LC,LC,4070
3922,Gila Woodpecker,Melanerpes uropygialis,LC,LC,4110
3924,Red-bellied Woodpecker,Melanerpes carolinus,LC,LC,4090
3925,Golden-fronted Woodpecker,Melanerpes aurifrons,LC,LC,4100
3928,Black-backed Woodpecker,Picoides arcticus,LC,LC,4000
3959,Downy Woodpecker,Dryobates pubescens,LC,LC,3940
3960,Ladder-backed Woodpecker,Dryobates scalaris,LC,LC,3960
3961,Nuttall's Woodpecker,Dryobates nuttallii,LC,LC,3970
3962,Hairy Woodpecker,Leuconotopicus villosus,LC,LC,3930
3963,Arizona Woodpecker,Leuconotopicus arizonae,LC,LC,3975
